lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
138.6474316,-34.8203943,Playford, ;  Assisted Wheelchair Access,North Ingle Primary School,,0,7 Rothwell Ave INGLE FARM SA,,SA,Ingle Farm North,0,0,,,,,,,
138.641024,-34.8276363,Playford, ;  Assisted Wheelchair Access,Ingle Farm Primary School,,0,Belalie Rd INGLE FARM SA,,SA,Ingle Farm,0,0,,,,,,,
138.7055732,-34.8479094,Newland, ;  Full Wheelchair Access,Highbury Primary School,,0,Honeysuckle Dr HOPE VALLEY SA,,SA,Hope Valley,0,0,,,,,,,
138.671214,-34.856509,Torrens, ;  Full Wheelchair Access,Kildare College,,0,96 Valiant Rd HOLDEN HILL SA,,SA,Holden Hill,0,0,,,,,,,
138.7631714,-34.8285716,Newland, ;  Full Wheelchair Access,Houghton CWA Room,,0,Cnr Horn & Black Hill Rds HOUGHTON SA,,SA,Houghton,0,0,,,,,,,
138.687805,-34.839576,Florey, ;  Assisted Wheelchair Access,John XXIII Catholic Community Centre,,0,50 Reservoir Rd HOPE VALLEY SA,,SA,Hope Valley North,0,0,,,,,,,
138.619897,-34.976512,Waite,Carpark entry off Smith-Dorien St;  Assisted Wheelchair Access,Mitcham Village Uniting Church Hall,,1,103 Princes Road MITCHAM SA,,SA,Mitcham,0,1,,,,,,,
138.5574781,-34.9974885,Elder,access only via Gate 3 - Marion Road;  Full Wheelchair Access,Hamilton Secondary College,,0,Gate 3/815 Marion Rd MITCHELL PARK SA,,SA,Mitchell Park,0,0,,,,,,,
138.5612118,-35.0149165,Elder, ;  Full Wheelchair Access,Suneden Special School,,0,21 McInerney Ave MITCHELL PARK SA,,SA,Mitchell Park South,0,0,,,,,,,
139.1178822,-34.4711386,Schubert, ;  Assisted Wheelchair Access,Moculta Soldiers Memorial Hall,,0,Cnr Truro & Angaston Rds MOCULTA SA,,SA,Moculta,0,0,,,,,,,
138.6935754,-34.8260257,Florey,enter from Iliad Grove;  Assisted Wheelchair Access,Modbury Primary School,,0,2 Golden Grove Rd MODBURY NORTH SA,,SA,Modbury,0,0,,,,,,,
138.6823646,-34.8103189,Florey, ;  Assisted Wheelchair Access,The Heights School,,0,Brunel Dr MODBURY HEIGHTS SA,,SA,Modbury Heights,0,0,,,,,,,
138.673163,-34.824708,Florey, ;  No Wheelchair Access,Modbury North Kindergarten,,0,12 Burragah Ct MODBURY NORTH SA,,SA,Modbury North,0,0,,,,,,,
138.6966108,-34.8400048,Florey,car parking via Aroona Avenue;  Assisted Wheelchair Access,Modbury South Primary School,,0,Dampier Ave HOPE VALLEY SA,,SA,Modbury South,0,0,,,,,,,
138.6758384,-34.8341412,Florey, ;  Assisted Wheelchair Access,Modbury West Primary School,,0,Wright Rd MODBURY SA,,SA,Modbury West,0,0,,,,,,,
140.5569993,-34.2377818,Chaffey, ;  Assisted Wheelchair Access,Monash Memorial Hall,,0,Randall Tce MONASH SA,,SA,Monash,0,0,,,,,,,
140.90626,-36.367832,MacKillop, ;  Assisted Wheelchair Access,Wolseley Community Club,,0,Railway Tce N WOLSELEY SA,,SA,Wolseley,0,0,,,,,,,
138.965152,-35.208944,Heysen, ;  Full Wheelchair Access,Richardson Hall,,0,Callington Rd WOODCHESTER SA,,SA,Woodchester,0,0,,,,,,,
139.3805639,-35.2193919,Hammond, ;  No Wheelchair Access,Woods Point Community Hall,,0,Baily St WOODS POINT SA,,SA,Woods Point,0,0,,,,,,,
138.878883,-34.9530021,Kavel,enter via William Street;  Full Wheelchair Access,Woodside Primary School,,0,23 Moffett St WOODSIDE SA,,SA,Woodside,0,0,,,,,,,
138.6426954,-34.8690596,Torrens, ;  Full Wheelchair Access,St Pius X School,,0,8 Windsor Gr WINDSOR GARDENS SA,,SA,Windsor Gardens West,0,0,,,,,,,
140.5257636,-34.3126383,Chaffey, ;  No Wheelchair Access,Croation Association Hall,,0,41 Bullpit Rd WINKIE SA,,SA,Winkie,0,0,,,,,,,
138.2667496,-33.0355004,Stuart, ;  Assisted Wheelchair Access,Wirrabara Institute Hall,,0,Cnr West Tce & Hill Side Rd WIRRABARA SA,,SA,Wirrabara,0,0,,,,,,,
134.533517,-32.4037598,Flinders, ;  No Wheelchair Access,Wirrulla Memorial Hall,,0,Cnr Chapman Tce & Dewar St WIRRULLA SA,,SA,Wirrulla,0,0,,,,,,,
138.505836,-34.898174,Colton, ;  Full Wheelchair Access,Christian Family Centre,,0,185 Frederick Rd SEATON SA,,SA,Seaton West,0,0,,,,,,,
138.5371787,-34.8842075,Cheltenham, ;  Assisted Wheelchair Access,Adelaide Miethke Kindergarten,,0,Cnr Oval & Cedar Ave WOODVILLE SOUTH SA,,SA,Woodville South,0,0,,,,,,,
136.824344,-31.1991685,Giles, ;  Assisted Wheelchair Access,Woomera Board Community Centre,,0,Banool Ave WOOMERA SA,,SA,Woomera,0,0,,,,,,,
138.707676,-35.00393,Heysen, ;  Full Wheelchair Access,St Catherine's School,,0,22 Ayers Hill Rd STIRLING SA,,SA,Stirling West,0,0,,,,,,,
137.839248,-32.5131833,Stuart,School Gym;  Assisted Wheelchair Access,Stirling North Primary School,,0,Beckman St STIRLING NORTH SA,,SA,Stirling North,0,0,,,,,,,
138.655678,-34.911144,Dunstan, ;  Assisted Wheelchair Access,Adelaide Korean Church Hall,,0,40 Third Ave ST MORRIS SA,,SA,St Morris,0,0,,,,,,,
138.7103723,-34.8322116,Newland, ;  Full Wheelchair Access,St Agnes Primary School,,0,Smart Rd ST AGNES SA,,SA,St Agnes,0,0,,,,,,,
139.0894273,-34.7068221,Schubert, ;  Assisted Wheelchair Access,Springton Public Hall,,0,Graetz Tce SPRINGTON SA,,SA,Springton,0,0,,,,,,,
138.6081729,-33.498039,Stuart, ;  Assisted Wheelchair Access,Spalding Hall Complex,,0,Main St SPALDING SA,,SA,Spalding,0,0,,,,,,,
138.73475,-35.002144,Heysen, ;  Full Wheelchair Access,Stirling East Primary School,,1,51 Braeside Rd STIRLING SA,,SA,Stirling,0,0,,,,,,,
137.796695,-34.909344,Goyder, ;  Assisted Wheelchair Access,Stansbury Institute Hall,,0,6 Weaver St STANSBURY SA,,SA,Stansbury,0,0,,,,,,,
138.6276022,-34.9022202,Dunstan, ;  Full Wheelchair Access,College Park Scout Hall,,1,95 Fourth Ave ST PETERS SA,,SA,St Peters West,0,1,,,,,,,
138.6262697,-34.9074096,Dunstan,Disabled access via Westminster St staff carpark;  Full Wheelchair Access,East Adelaide Primary School,,0,Second Ave ST PETERS SA,,SA,St Peters,0,0,,,,,,,
138.3506584,-34.4545955,Goyder, ;  Full Wheelchair Access,Dublin Institute,,0,Cnr Sixth & First Sts DUBLIN SA,,SA,Dublin,0,0,,,,,,,
138.7973924,-35.0771677,Heysen, ;  Full Wheelchair Access,Echunga Primary School,,0,802 Echunga Rd ECHUNGA SA,,SA,Echunga,0,0,,,,,,,
138.815338,-34.841913,Morialta, ;  No Wheelchair Access,Cudlee Creek Soldiers Memorial Hall,,0,4 Redden Rd CUDLEE CREEK SA,,SA,Cudlee Creek,0,0,,,,,,,
135.727834,-34.264834,Flinders, ;  Assisted Wheelchair Access,Cummins Community Hall,,0,46 Railway Tce CUMMINS SA,,SA,Cummins,0,0,,,,,,,
138.566049,-34.880251,Croydon, ;  Assisted Wheelchair Access,Church of the Nazarene,,0,60 Days Rd CROYDON PARK SA,,SA,Croydon Park,0,0,,,,,,,
138.207347,-33.351642,Frome, ;  Full Wheelchair Access,Crystal Brook Institute,,0,21 Bowman St CRYSTAL BROOK SA,,SA,Crystal Brook,0,0,,,,,,,
136.1991104,-33.4665558,Flinders, ;  Assisted Wheelchair Access,Darke Peak Sporting Complex,,0,Cnr Carapee Hill & Balumbah Kinnard Rds DARKE PEAK SA,,SA,Darke Peak,0,0,,,,,,,
138.672848,-34.861134,Torrens, ;  Full Wheelchair Access,Dernancourt Primary School,,0,29 Parsons Rd DERNANCOURT SA,,SA,Dernancourt,0,0,,,,,,,
137.7112343,-34.6975671,Goyder, ;  Assisted Wheelchair Access,Curramulka Institute,,0,Main St CURRAMULKA SA,,SA,Curramulka,0,0,,,,,,,
138.7729949,-35.439732,Hammond, ;  Assisted Wheelchair Access,Currency Creek Community Hall,,0,Alexandrina Rd CURRENCY CREEK SA,,SA,Currency Creek,0,0,,,,,,,
138.614946,-35.020906,Davenport,Cnr Waite Street;  Full Wheelchair Access,Blackwood Church of Christ Hall,,0,367 Shepherds Hill Rd BLACKWOOD SA,,SA,Blackwood Central,0,0,,,,,,,
138.619936,-35.029545,Davenport, ;  Assisted Wheelchair Access,Blackwood Hills Baptist Church,,0,72 Coromandel Pde BLACKWOOD SA,,SA,Blackwood,0,0,,,,,,,
138.548398,-34.892463,Croydon, ;  Assisted Wheelchair Access,Maltese Cultural Centre,,0,6 Jeanes St BEVERLEY SA,,SA,Beverley,0,0,,,,,,,
140.5981672,-34.2843912,Chaffey, ;  Full Wheelchair Access,Berri Masonic Lodge Hall,,1,2-4 McIntosh St BERRI SA,,SA,Berri,0,0,,,,,,,
138.588927,-35.028943,Davenport, ;  Full Wheelchair Access,Bellevue Heights Primary School,,0,17-19 Vaucluse Cres BELLEVUE HEIGHTS SA,,SA,Bellevue Heights,0,0,,,,,,,
138.5677775,-35.0232198,Davenport, ;  Full Wheelchair Access,Flinders Medical Centre,,0,Womens Health Clinic Flinders Dr BEDFORD PARK SA,,SA,Bedford Park,0,0,,,,,,,
138.580944,-34.960567,Ashford,enter via Canterbury Tce;  Assisted Wheelchair Access,Clarence Park Community Centre,,0,72-74 East Ave BLACK FOREST SA,,SA,Black Forest East,0,0,,,,,,,
138.5728988,-34.9607527,Ashford,enter via School Ave;  Assisted Wheelchair Access,Black Forest Primary School,,0,679 South Rd BLACK FOREST SA,,SA,Black Forest,0,0,,,,,,,
138.495264,-34.839759,Lee, ;  Full Wheelchair Access,Le Fevre Peninsula Primary School,,0,Shorney St BIRKENHEAD SA,,SA,Birkenhead,0,0,,,,,,,
138.9551297,-34.8202391,Kavel,via Pflaum Street;  Assisted Wheelchair Access,Birdwood Primary School,,0,Shannon St BIRDWOOD SA,,SA,Birdwood,0,0,,,,,,,
138.4959668,-34.8258153,Port Adelaide, ;  Full Wheelchair Access,St Albans Anglican Church,,0,Jetty Rd LARGS BAY SA,,SA,Largs Bay Central,0,0,,,,,,,
138.4949362,-34.8240065,Port Adelaide, ;  Assisted Wheelchair Access,Largs Bay Primary School,,0,Cnr Fletcher Rd & Centre St LARGS BAY SA,,SA,Largs Bay,0,0,,,,,,,
138.537705,-34.920681,Colton, ;  Full Wheelchair Access,Lockleys North Primary School,,0,55 Malurus Ave LOCKLEYS SA,,SA,Lockleys North,0,0,,,,,,,
138.5265778,-34.9260559,West Torrens, ;  Assisted Wheelchair Access,Christ the King Church,,0,456 Henley Beach Rd LOCKLEYS SA,,SA,Lockleys,0,0,,,,,,,
138.5793154,-34.9792113,Ashford, ;  Full Wheelchair Access,Edwardstown Primary School,,0,Maria St MELROSE PARK SA,,SA,Melrose Park,0,0,,,,,,,
138.551214,-34.854431,Port Adelaide,Dudley Street;  Full Wheelchair Access,St Patricks School,,0,33a Dudley St MANSFIELD PARK SA,,SA,Mansfield Park,0,0,,,,,,,
