lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
138.7478059,-34.6063278,Light, ;  Full Wheelchair Access,Immanuel Lutheran Church Gawler,,0,Cnr Seventh & Second Sts GAWLER SOUTH SA,,SA,Gawler South,0,0,,,,,,,
138.7466702,-34.5991448,Light, ;  Assisted Wheelchair Access,Gawler Uniting Church Hall,,0,Tod St GAWLER SA,,SA,Gawler West,0,0,,,,,,,
138.7504242,-34.5966215,Light, ;  Assisted Wheelchair Access,Gawler Freemasons Centre,,0,Cnr Union St & Lyndoch Rd GAWLER SA,,SA,Gawler,0,0,,,,,,,
138.7613234,-34.5974952,Light, ;  Assisted Wheelchair Access,Gawler East Primary School,,0,Finch Rd GAWLER EAST SA,,SA,Gawler East,0,0,,,,,,,
138.6192763,-34.957183,Unley,"Location Julia's Cafe, enter via gate 1 or 2;  Full Wheelchair Access",Highgate Building,,0,103 Fisher St FULLARTON SA,,SA,Fullarton,0,0,,,,,,,
,,MacKillop, ;  Assisted Wheelchair Access,Furner Community Hall,,0,North Tce FURNER SA,,SA,Furner,0,0,,,,,,,
138.543843,-35.113504,Reynell, ;  Full Wheelchair Access,Woodcroft College,,0,143-173 Bains Rd MORPHETT VALE SA,,SA,Woodcroft West,0,0,,,,,,,
138.5522864,-34.8640168,Croydon, ;  Full Wheelchair Access,Woodville Gardens School B-7,,0,Ridley Gr WOODVILLE GARDENS SA,,SA,Woodville Gardens,0,0,,,,,,,
138.5927058,-34.9688525,Waite, ;  Full Wheelchair Access,Westbourne Park Primary School,,0,2 Marlborough Rd WESTBOURNE PARK SA,,SA,Westbourne Park,0,0,,,,,,,
138.556371,-35.105304,Mawson,Gymnasium off Investigator Drive;  Full Wheelchair Access,Woodcroft Primary School,,0,1-23 Investigator Dr WOODCROFT SA,,SA,Woodcroft,0,0,,,,,,,
138.5989846,-35.0590534,Davenport, ;  Full Wheelchair Access,Aberfoyle Park Baptist Church Hall,,0,Cnr Manning Rd & Lyn St ABERFOYLE PARK SA,,SA,Aberfoyle Park North,0,0,,,,,,,
138.6597471,-34.6754486,Light, ;  Assisted Wheelchair Access,St Columba College,,0,President Ave ANDREWS FARM SA,,SA,Andrews Farm,0,0,,,,,,,
138.645584,-34.962691,Bragg, ;  Assisted Wheelchair Access,St Saviour's Church Hall,,0,2 Pridmore Rd GLEN OSMOND SA,,SA,Glen Osmond,0,0,,,,,,,
140.8700529,-37.8190523,Mount Gambier, ;  Full Wheelchair Access,Glenburnie Memorial Hall,,0,Casterton Rd GLENBURNIE SA,,SA,Glenburnie,0,0,,,,,,,
138.5927058,-34.9688525,Ashford, ;  Full Wheelchair Access,Westbourne Park Primary School,,0,2 Marlborough Rd WESTBOURNE PARK SA,,SA,Westbourne Park,0,0,,,,,,,
138.5374477,-35.0031672,Mitchell, ;  Full Wheelchair Access,Warradale Primary School,,0,Keynes Ave WARRADALE SA,,SA,Warradale,0,0,,,,,,,
138.5396081,-34.5925659,Taylor, ;  Full Wheelchair Access,Two Wells Primary School,,0,Gawler Rd TWO WELLS SA,,SA,Two Wells,0,0,,,,,,,
138.5756991,-35.0033039,Elder,enter from Walsh Avenue;  Assisted Wheelchair Access,St Bernadette's Parish Hall,,0,Cnr South Road & Walsh Avenue ST MARYS SA,,SA,St Marys,0,0,,,,,,,
138.6161112,-34.887827,Enfield,off North East Rd;  Full Wheelchair Access,St Monica's Parish School,,0,92 North East Rd WALKERVILLE SA,,SA,Walkerville North,0,0,,,,,,,
138.6537758,-34.8414157,Florey, ;  No Wheelchair Access,Valley View Kindergarten,,0,Geoffrey Ave VALLEY VIEW SA,,SA,Valley View,0,0,,,,,,,
138.557766,-34.979012,Ashford, ;  Full Wheelchair Access,Forbes Primary School,,0,80 Thomas St SOUTH PLYMPTON SA,,SA,South Plympton,0,0,,,,,,,
138.5266797,-34.9938226,Morphett, ;  Assisted Wheelchair Access,Masonic Homes Inc,,0,91 Diagonal Rd SOMERTON PARK SA,,SA,Somerton Park,0,0,,,,,,,
138.540845,-34.872922,Croydon,enter from Brocas Ave;  No Wheelchair Access,Woodville High School,,0,11 Actil Ave ST CLAIR SA,,SA,St Clair,0,0,,,,,,,
138.7054245,-34.8345115,Florey, ;  Full Wheelchair Access,Ardtornish Primary School,,0,Saarinen Ave ST AGNES SA,,SA,St Agnes West,0,0,,,,,,,
138.6644061,-34.6978323,Taylor, ;  Assisted Wheelchair Access,Swallowcliffe Primary School,,0,Swallowcliffe Road DAVOREN PARK SA,,SA,Davoren Park,0,0,,,,,,,
138.7003008,-34.7123942,Napier, ;  Assisted Wheelchair Access,Craigmore South Primary School,,0,Turner Dr CRAIGMORE SA,,SA,Craigmore South,0,0,,,,,,,
138.6168016,-35.0575373,Davenport, ;  Full Wheelchair Access,Craigburn Primary School,,0,15 Murrays Hill Rd FLAGSTAFF HILL SA,,SA,Flagstaff Hill East,0,0,,,,,,,
138.5890338,-35.0502981,Davenport, ;  Full Wheelchair Access,Flagstaff Hill R-7 School,,0,145 Black Rd FLAGSTAFF HILL SA,,SA,Flagstaff Hill,0,0,,,,,,,
138.5274715,-34.8966445,Cheltenham, ;  No Wheelchair Access,Findon High School,,0,Drummond Ave FINDON SA,,SA,Findon West,0,0,,,,,,,
138.537047,-34.898937,Cheltenham, ;  Assisted Wheelchair Access,Western Link Uniting Church,,0,93 Crittenden Rd FINDON SA,,SA,Findon,0,0,,,,,,,
138.8101047,-34.4544346,Schubert, ;  Full Wheelchair Access,Freeling Lutheran Church,,0,Clarke St FREELING SA,,SA,Freeling,0,0,,,,,,,
140.9531386,-36.715368,MacKillop, ;  No Wheelchair Access,Frances Soldiers Memorial Institute,,0,Railway Tce FRANCES SA,,SA,Frances,0,0,,,,,,,
138.8995005,-34.7974939,Schubert, ;  Full Wheelchair Access,Forreston Memorial Hall,,0,Main Rd FORRESTON SA,,SA,Forreston,0,0,,,,,,,
138.5476693,-34.9076674,Croydon, ;  Assisted Wheelchair Access,Flinders Park Church of Christ,,0,Cnr Franklin & Drake Ave FLINDERS PARK SA,,SA,Flinders Park,0,0,,,,,,,
138.6810992,-34.4708162,Light, ;  No Wheelchair Access,Wasleys Primary School,,0,Annie Tce WASLEYS SA,,SA,Wasleys,0,0,,,,,,,
138.6453898,-33.9587085,Frome, ;  Assisted Wheelchair Access,Watervale Primary School,,0,Main North Rd WATERVALE SA,,SA,Watervale,0,0,,,,,,,
138.5043942,-34.9114325,Colton,enter off Marlborough Street;  Full Wheelchair Access,Fulham Gardens Primary School,,0,Mitton Ave HENLEY BEACH SA,,SA,Fulham Gardens,0,0,,,,,,,
138.514158,-34.930563,Colton,access from Phelps Court;  Full Wheelchair Access,Reedbeds Community Centre,,0,19 Fitch Rd FULHAM SA,,SA,Fulham,0,0,,,,,,,
137.7014838,-33.9638197,Goyder, ;  Full Wheelchair Access,Kadina Dart Club,,0,Downer Road WALLAROO MINES SA,,SA,Wallaroo Mines,0,0,,,,,,,
135.481244,-34.5495086,Flinders, ;  Assisted Wheelchair Access,Lake Wangary Primary School,,0,Third St WANGARY SA,,SA,Wangary,0,0,,,,,,,
137.401966,-34.990429,Goyder, ;  Full Wheelchair Access,Warooka Institute,,0,1-3 Player St WAROOKA SA,,SA,Warooka,0,0,,,,,,,
135.590167,-33.240074,Flinders, ;  Assisted Wheelchair Access,Warramboo Hall,,0,Barns St WARRAMBOO SA,,SA,Warramboo,0,0,,,,,,,
138.6856727,-34.0272307,Frome, ;  Full Wheelchair Access,Auburn RSL Hall,,0,Main North Rd AUBURN SA,,SA,Auburn,0,0,,,,,,,
138.4169482,-34.1507984,Frome, ;  Assisted Wheelchair Access,Balaklava Primary School,,0,Wallace St BALAKLAVA SA,,SA,Balaklava,0,0,,,,,,,
138.7272076,-34.8081718,Newland, ;  Full Wheelchair Access,Banksia Park Primary School,,0,Cottenham Rd BANKSIA PARK SA,,SA,Banksia Park,0,0,,,,,,,
140.4537004,-34.251858,Chaffey, ;  Full Wheelchair Access,Barmera Recreation Centre,,0,1 James Tce BARMERA SA,,SA,Barmera,0,0,,,,,,,
138.562508,-34.990672,Elder, ;  Full Wheelchair Access,Active Elders Association,,1,27A Charles St ASCOT PARK SA,,SA,Ascot Park,0,1,Plus fairy floss!,,,,,,
,,Heysen, ;  Full Wheelchair Access,Eastern Fleurieu School (Ashbourne Campus),,0,14 Ashbourne Rd ASHBOURNE SA,,SA,Ashbourne,0,0,,,,,,,
138.699915,-34.868285,Morialta, ;  Assisted Wheelchair Access,Athelstone Primary School,,1,8 Brookside Rd ATHELSTONE SA,,SA,Athelstone,0,0,,,,,,,
138.693191,-34.88417,Morialta, ;  Assisted Wheelchair Access,Thorndon Park Primary School,,1,71 Stradbroke Rd ATHELSTONE SA,,SA,Athelstone South,0,0,Plus drinks,,,,,,
140.0134959,-37.4761204,MacKillop, ;  Full Wheelchair Access,Beachport Recreation Centre,,0,Golf Course Rd BEACHPORT SA,,SA,Beachport,0,0,,,,,,,
138.658358,-34.944945,Bragg, ;  Assisted Wheelchair Access,Beaumont Scout Hall,,1,42 Cooper Pl BEAUMONT SA,,SA,Beaumont,0,0,,,,,,,
138.7449167,-34.5338973,Light, ;  Full Wheelchair Access,Roseworthy Primary School,,0,Gartrell St ROSEWORTHY SA,,SA,Roseworthy,0,0,,,,,,,
138.629302,-34.931545,Bragg, ;  Assisted Wheelchair Access,Rose Park Primary School,,0,54 Alexandra Ave ROSE PARK SA,,SA,Rose Park,0,0,,,,,,,
139.083006,-33.989666,Stuart, ;  Assisted Wheelchair Access,Robertstown Peace Hall,,0,32 Commercial St ROBERTSTOWN SA,,SA,Robertstown,0,0,,,,,,,
139.7602249,-37.1644782,MacKillop, ;  Assisted Wheelchair Access,Robe Primary School,,0,Union Street ROBE SA,,SA,Robe,0,0,,,,,,,
138.745021,-34.157653,Frome, ;  Assisted Wheelchair Access,Riverton Primary School,,0,21 Swinden St RIVERTON SA,,SA,Riverton,0,0,,,,,,,
137.992702,-33.206986,Frome, ;  Assisted Wheelchair Access,Baptist Church Hall,,1,44 Hannan St RISDON PARK SOUTH SA,,SA,Risdon Park South,0,0,,,,,,,
138.003539,-33.1979,Frome, ;  Full Wheelchair Access,Lighthouse Uniting Church,,0,390 The Terrace RISDON PARK SA,,SA,Risdon Park,0,0,,,,,,,
138.5619843,-34.9386561,West Torrens,via Bickford Street;  Assisted Wheelchair Access,Tenison Woods Catholic School,,0,68 Brooker Tce RICHMOND SA,,SA,Richmond,1,0,,,,,,,
138.6359181,-34.9490137,Bragg,Gym access via Conyngham Street;  Full Wheelchair Access,Glenunga International High School,,0,99 L'Estrange St GLENUNGA SA,,SA,Glenunga,0,0,,,,,,,
136.8955714,-30.5635286,Giles,Carpark off Burgoyne St;  Assisted Wheelchair Access,Roxby Downs Christian Community Church,,0,Cnr Burgoyne & Tutop Sts ROXBY DOWNS SA,,SA,Roxby Downs,0,0,,,,,,,
138.684753,-34.893565,Morialta, ;  Full Wheelchair Access,Stradbroke Primary School,,0,73 Koonga Ave ROSTREVOR SA,,SA,Rostrevor,0,0,,,,,,,
138.662969,-34.8492663,Torrens,Gym;  Full Wheelchair Access,Wandana Primary School,,0,2 Cowra Ave GILLES PLAINS SA,,SA,Gilles Plains,0,0,,,,,,,
138.472321,-35.148995,Kaurna, ;  Full Wheelchair Access,The Arts Centre Port Noarlunga ,,0,22 Gawler Street PORT NOARLUNGA SA,,SA,Port Noarlunga,0,0,,,,,,,
136.3487162,-34.1189294,Flinders, ;  Assisted Wheelchair Access,Port Neill War Memorial Hall,,0,41 Wallis St PORT NEILL SA,,SA,Port Neill,0,0,,,,,,,
138.6819228,-35.5341077,Finniss, ;  Full Wheelchair Access,Port Elliot RSL Hall,,0,10 The Strand PORT ELLIOT SA,,SA,Port Elliot,0,0,,,,,,,
138.0197754,-34.2240093,Goyder, ;  Assisted Wheelchair Access,Port Clinton Progress Hall,,0,Cnr Emeu St & Cumberland Rd PORT CLINTON SA,,SA,Port Clinton,0,0,,,,,,,
134.683312,-33.165838,Flinders, ;  No Wheelchair Access,Port Kenny Hall,,0,7 Main St PORT KENNY SA,,SA,Port Kenny,0,0,,,,,,,
,,Stuart, ;  Assisted Wheelchair Access,Port Germein District Hall,,0,High Street PORT GERMEIN SA,,SA,Port Germein,0,0,,,,,,,
135.8367808,-34.714659,Flinders, ;  Assisted Wheelchair Access,Port Lincoln Lutheran Church Hall,,0,Flinders Hwy PORT LINCOLN SA,,SA,Port Lincoln Central,0,0,,,,,,,
135.856357,-34.720452,Flinders, ;  Assisted Wheelchair Access,Port Lincoln RSL Hall,,0,14 Hallet Pl PORT LINCOLN SA,,SA,Port Lincoln,0,0,,,,,,,
140.6970727,-38.0527276,Mount Gambier, ;  Assisted Wheelchair Access,Port MacDonnell Senior Citizens Club,,0,Elizabeth St PORT MACDONNELL SA,,SA,Port MacDonnell,0,0,,,,,,,
135.846749,-34.740671,Flinders, ;  Assisted Wheelchair Access,Lincoln Gardens Primary School,,0,14 Barley Rd PORT LINCOLN SA,,SA,Port Lincoln South,0,0,,,,,,,
138.6459039,-34.6443311,Taylor, ;  Full Wheelchair Access,Angle Vale Primary School,,0,Heaslip Rd ANGLE VALE SA,,SA,Angle Vale,0,0,,,,,,,
138.2276688,-33.5390312,Frome,Corner of Moorehouse and Bowman Streets;  Full Wheelchair Access,Redhill Community Centre,,0,51 Moorhouse St REDHILL SA,,SA,Redhill,0,0,,,,,,,
139.9320686,-34.1702164,Chaffey, ;  Assisted Wheelchair Access,Ramco Community Hall,,0,294 Ramco Road RAMCO SA,,SA,Ramco,0,0,,,,,,,
138.041803,-32.345864,Giles, ;  Assisted Wheelchair Access,Flinders Ranges Council Chambers,,0,1 Seventh St QUORN SA,,SA,Quorn,0,0,,,,,,,
138.5094074,-34.8600879,Cheltenham, ;  Assisted Wheelchair Access,Alberton Primary School,,0,Spring St QUEENSTOWN SA,,SA,Queenstown,0,0,,,,,,,
140.7087714,-34.1700028,Chaffey, ;  Full Wheelchair Access,Renmark West Primary School,,0,327 Tarcoola St RENMARK WEST SA,,SA,Renmark West,0,0,,,,,,,
140.7201555,-34.1205085,Chaffey, ;  Full Wheelchair Access,Renmark North Primary School,,0,65 Warrego St RENMARK NORTH SA,,SA,Renmark North,0,0,,,,,,,
140.7491654,-34.1787289,Chaffey, ;  Full Wheelchair Access,Renmark Paringa Community and Civic Centre,,0,61 Eighteenth St RENMARK SA,,SA,Renmark,0,0,,,,,,,
140.2252787,-37.5492735,MacKillop, ;  Assisted Wheelchair Access,Rendelsham Community Hall,,0,Julia Moore St RENDELSHAM SA,,SA,Rendelsham,0,0,,,,,,,
136.494448,-33.702635,Flinders, ;  Assisted Wheelchair Access,Cleve RSL Hall,,0,23 Fourth St CLEVE SA,,SA,Cleve,0,0,,,,,,,
140.4049203,-34.2442096,Chaffey, ;  Full Wheelchair Access,Cobdogla Primary School,,0,Dolan St COBDOGLA SA,,SA,Cobdogla,0,0,,,,,,,
138.5545377,-35.0894948,Fisher, ;  Full Wheelchair Access,Reynella East College,,0,63 Malbeck Dr REYNELLA EAST SA,,SA,Reynella East,0,0,,,,,,,
138.5824716,-34.8943596,Croydon, ;  Assisted Wheelchair Access,Brompton Primary School,,0,Napier St RENOWN PARK SA,,SA,Renown Park,0,0,,,,,,,
138.5971001,-34.9875803,Waite, ;  Full Wheelchair Access,Colonel Light Gardens Primary School,,1,1 Windsor Ave COLONEL LIGHT GARDENS SA,,SA,Colonel Light Gardens South,0,0,,,,,,,
140.7332987,-37.7962444,Mount Gambier,Sassanowsky Rd off Princes Hwy;  Full Wheelchair Access,Compton Soldiers Memorial Hall,,0,Sassanowsky Rd COMPTON SA,,SA,Compton,0,0,,,,,,,
135.4693899,-34.6221832,Flinders, ;  Assisted Wheelchair Access,Coffin Bay Community Hall,,0,The Esplanade Coffin Bay SA,,SA,Coffin Bay,0,0,,,,,,,
138.616966,-34.907622,Dunstan,access via Harrow Rd.;  Assisted Wheelchair Access,Hackney Kindergarten,,0,68 Richmond St COLLEGE PARK SA,,SA,College Park,0,0,,,,,,,
138.589084,-34.928128,Adelaide,off Franklin St;  Full Wheelchair Access,St Mary's College,,0,253 Franklin St ADELAIDE SA,,SA,Adelaide West,1,0,,,,,,,
138.5266797,-34.9938226,Bright, ;  Assisted Wheelchair Access,Masonic Homes Inc,,0,91 Diagonal Rd SOMERTON PARK SA,,SA,Somerton Park,0,0,,,,,,,
138.6537758,-34.8414157,Playford, ;  No Wheelchair Access,Valley View Kindergarten,,0,Geoffrey Ave VALLEY VIEW SA,,SA,Valley View,0,0,,,,,,,
138.596729,-34.874715,Adelaide,Gymnasium - enter via Stuart Rd or Arthur St;  Full Wheelchair Access,Prospect North Primary School,,0,30 Stuart Rd PROSPECT SA,,SA,Prospect North,0,0,,,,,,,
138.7031144,-34.8141156,Newland, ;  Full Wheelchair Access,Redwood Park Primary School,,0,Lokan St REDWOOD PARK SA,,SA,Redwood Park,0,0,,,,,,,
138.556108,-34.960692,Ashford, ;  Assisted Wheelchair Access,Plympton Primary School,,0,19 Owen St PLYMPTON SA,,SA,Plympton,0,0,,,,,,,
138.552287,-34.962202,Ashford, ;  Full Wheelchair Access,William Light R-12 School,,0,81 Errington St PLYMPTON SA,,SA,Plympton West,0,0,,,,,,,
138.6132154,-34.7584572,Ramsay,enter via Halba Cres or Careena Ave;  Assisted Wheelchair Access,Paralowie R-12 School,,0,Whites Road PARALOWIE SA,,SA,Paralowie,0,0,,,,,,,
138.547484,-34.989126,Elder,Use Condada Ave entrance;  Assisted Wheelchair Access,Springpark Baptist Church,,0,80 Hendrie St PARK HOLME SA,,SA,Park Holme,0,0,,,,,,,
138.616056,-34.785564,Ramsay, ;  Assisted Wheelchair Access,Parafield Gardens R-7 School,,0,23 Shepherdson Rd PARAFIELD GARDENS SA,,SA,Parafield Gardens Central,0,0,,,,,,,
138.607707,-34.773352,Ramsay, ;  No Wheelchair Access,The Pines Primary School,,0,42 Andrew Smith Dr PARAFIELD GARDENS SA,,SA,Parafield Gardens North-West,0,0,,,,,,,
138.524338,-35.103752,Mitchell, ;  Assisted Wheelchair Access,Reynella South Primary School,,0,119-135 Sherrifs Rd REYNELLA SA,,SA,Reynella,0,0,,,,,,,
138.710285,-34.817978,Newland, ;  Full Wheelchair Access,Ridgehaven Primary School,,0,479 Milne Rd RIDGEHAVEN SA,,SA,Ridgehaven,0,0,,,,,,,
139.3005199,-34.913203,Schubert,via Adelaide Road;  Assisted Wheelchair Access,Mannum Leisure Centre,,0,51 Adelaide Rd MANNUM SA,,SA,Mannum,0,0,,,,,,,
138.5098573,-34.4350275,Goyder, ;  Full Wheelchair Access,Mallala Primary School,,0,28 Aerodrome Rd MALLALA SA,,SA,Mallala,0,0,,,,,,,
138.638292,-34.896498,Dunstan, ;  Full Wheelchair Access,Payneham Road Uniting Church,,0,343 Payneham Rd MARDEN SA,,SA,Marden,0,0,,,,,,,
138.8169708,-34.000652,Frome, ;  Assisted Wheelchair Access,Manoora Hall,,0,Weymouth St MANOORA SA,,SA,Manoora,0,0,,,,,,,
138.8363265,-35.1723944,Heysen, ;  Full Wheelchair Access,Macclesfield Institute,,0,Venables Rd MACCLESFIELD SA,,SA,Macclesfield,0,0,,,,,,,
140.6465667,-34.2551038,Chaffey, ;  Assisted Wheelchair Access,Lyrup Community Hall,,0,Wilson Pde LYRUP SA,,SA,Lyrup,0,0,,,,,,,
137.6743503,-34.3695778,Goyder, ;  Full Wheelchair Access,Maitland Area School,,0,Cnr Pioneer & Junction Rds MAITLAND SA,,SA,Maitland,0,0,,,,,,,
138.6794766,-34.9142033,Hartley, ;  Full Wheelchair Access,Magill Primary School,,0,Adelaide St MAGILL SA,,SA,Magill,0,0,,,,,,,
138.677139,-34.799999,Wright, ;  No Wheelchair Access,Keithcot Farm Children's Centre,,0,5 Keithcot Farm Dr WYNN VALE SA,,SA,Wynn Vale West,0,0,,,,,,,
138.5544134,-35.0045545,Elder, ;  Full Wheelchair Access,Marion Primary School,,0,Malcolm Ave MARION SA,,SA,Marion,0,0,,,,,,,
138.518107,-35.042704,Bright, ;  Full Wheelchair Access,Marino Community Hall,,0,44 Newland Ave MARINO SA,,SA,Marino,0,0,,,,,,,
138.6568063,-34.8610728,Torrens, ;  No Wheelchair Access,Windsor Gardens Vocational College,,0,McKay Ave WINDSOR GARDENS SA,,SA,Windsor Gardens East,0,0,,,,,,,
138.1267754,-32.687064,Stuart, ;  Assisted Wheelchair Access,Wilmington Kindergarten,,0,Main North Rd WILMINGTON SA,,SA,Wilmington,0,0,,,,,,,
137.5284272,-33.0242855,Giles,Enter via Toal St or McRitchie Cres;  Assisted Wheelchair Access,Samaritan College - Our Lady Help of Christians,,0,10 Toal St WHYALLA STUART SA,,SA,Whyalla Stuart South,0,0,,,,,,,
137.5320921,-33.0378495,Giles,"Car Park off Eyre Ave, in school Gym;  Assisted Wheelchair Access",Long St Primary School,,0,Cnr Eyre Ave & Long St WHYALLA NORRIE SA,,SA,Whyalla Norrie South,0,0,,,,,,,
140.3528383,-36.3589047,MacKillop, ;  Full Wheelchair Access,Willalooka Hall,,0,Riddoch Hwy WILLALOOKA SA,,SA,Willalooka,0,0,,,,,,,
137.5181812,-33.0164548,Giles,Enter from back of school.;  Assisted Wheelchair Access,Stuart High School,,0,Cnr Bastyan Cres & Bailey St WHYALLA STUART SA,,SA,Whyalla Stuart West,0,0,,,,,,,
138.8910631,-34.6674293,Schubert, ;  Full Wheelchair Access,Williamstown Primary School,,0,Margaret Street WILLIAMSTOWN SA,,SA,Williamstown,0,0,,,,,,,
138.7373565,-34.5891918,Light, ;  Full Wheelchair Access,1st Gawler Scout Hall,,0,Holmes Street WILLASTON SA,,SA,Willaston,0,0,,,,,,,
138.5534683,-35.2610453,Mawson, ;  Full Wheelchair Access,Willunga Show Hall,,0,Main Rd WILLUNGA SA,,SA,Willunga,0,0,,,,,,,
137.7787806,-32.5068584,Stuart,Activity room;  Assisted Wheelchair Access,Willsden Primary School,,0,Cnr Elizabeth Tce & Roberts Cres PORT AUGUSTA SA,,SA,Willsden,0,0,,,,,,,
139.454778,-35.254858,Hammond, ;  Assisted Wheelchair Access,Tailem Bend Town Hall,,0,95 Railway Tce TAILEM BEND SA,,SA,Tailem Bend,0,0,,,,,,,
140.4538099,-37.6976123,MacKillop, ;  Assisted Wheelchair Access,Tantanoola Primary School,,0,Randall St TANTANOOLA SA,,SA,Tantanoola,0,0,,,,,,,
138.71283,-34.993392,Heysen, ;  Assisted Wheelchair Access,Crafers Primary School,,0,55 Piccadilly Rd CRAFERS SA,,SA,Crafers,0,0,,,,,,,
138.47913,-35.137963,Kaurna,enter off Price Street;  Full Wheelchair Access,Christies Beach Primary School,,0,46 Maturin Ave CHRISTIES BEACH SA,,SA,Christies Beach,0,0,,,,,,,
138.5588559,-34.8628519,Croydon,via Stuart Street;  Full Wheelchair Access,St Pauls Lutheran Church,,0,Cnr Stuart & Parker Sts FERRYDEN PARK SA,,SA,Ferryden Park,0,0,,,,,,,
138.6756238,-34.7030062,Napier,Wheelchair access from Amport St;  Full Wheelchair Access,Elizabeth North Primary School,,0,141 Woodford Rd ELIZABETH NORTH SA,,SA,Elizabeth North,0,0,,,,,,,
138.5644327,-34.9743441,Ashford, ;  Full Wheelchair Access,Edwardstown Community Church,,0,Cnr De Laine Ave & Towers Tce EDWARDSTOWN SA,,SA,Edwardstown,0,0,,,,,,,
138.5918388,-34.9808784,Waite, ;  Full Wheelchair Access,Colonel Light Gardens Uniting Church Hall,,0,560 Goodwood Rd DAW PARK SA,,SA,Daw Park,0,0,,,,,,,
139.0677884,-34.4363825,Schubert, ;  Assisted Wheelchair Access,Stockwell Hall,,0,Duckponds Rd STOCKWELL SA,,SA,Stockwell,0,0,,,,,,,
138.8934688,-35.2560505,Heysen, ;  Full Wheelchair Access,Strathalbyn Town Hall,,1,High Street STRATHALBYN SA,,SA,Strathalbyn,0,0,,,,,,,
134.2113536,-32.7984074,Flinders, ;  Assisted Wheelchair Access,Streaky Bay RSL Hall,,0,Cnr Flinders Hwy & Montgomerie Tce STREAKY BAY SA,,SA,Streaky Bay,0,0,,,,,,,
138.551627,-35.01809,Mitchell, ;  Full Wheelchair Access,Marion Council Chambers,,0,245 Sturt Road STURT SA,,SA,Sturt,0,0,,,,,,,
138.7276829,-34.9584485,Bragg, ;  Assisted Wheelchair Access,Summertown Uniting Church Hall,,0,Cnr Greenhill & Bonython Rds SUMMERTOWN SA,,SA,Summertown,0,0,,,,,,,
138.7139371,-34.7995189,Newland, ;  Full Wheelchair Access,Surrey Downs Primary School,,0,Vine St SURREY DOWNS SA,,SA,Surrey Downs,0,0,,,,,,,
140.7592156,-37.793154,Mount Gambier, ;  Full Wheelchair Access,Suttontown Primary School,,0,Pine Hall Ave SUTTONTOWN SA,,SA,Suttontown,0,0,,,,,,,
139.602323,-34.5723155,Chaffey, ;  Assisted Wheelchair Access,Swan Reach Area School,,0,Showgrounds Rd SWAN REACH SA,,SA,Swan Reach,0,0,,,,,,,
139.0116717,-34.9500965,Kavel, ;  Assisted Wheelchair Access,Harrogate Soldiers Memorial Hall,,0,13 Mail Rd HARROGATE SA,,SA,Harrogate,0,0,,,,,,,
137.459738,-34.8929485,Goyder, ;  Full Wheelchair Access,Hardwicke Bay Community Centre,,0,5 Progress Rd HARDWICKE BAY SA,,SA,Hardwicke Bay,0,0,,,,,,,
138.553602,-35.081621,Fisher, ;  Full Wheelchair Access,Braeview Primary School,,0,1a Montana Dr HAPPY VALLEY SA,,SA,Happy Valley West,0,0,,,,,,,
138.5844476,-35.0870983,Fisher, ;  Full Wheelchair Access,Happy Valley Primary School,,0,18 Education Rd HAPPY VALLEY SA,,SA,Happy Valley,0,0,,,,,,,
138.6815701,-34.356815,Goyder, ;  Full Wheelchair Access,SA Ambulance Service Centre,,0,Light St HAMLEY BRIDGE SA,,SA,Hamley Bridge,0,0,,,,,,,
138.5047809,-35.0838183,Bright, ;  Full Wheelchair Access,Hallett Cove South Primary School,,0,Livonia St HALLETT COVE SA,,SA,Hallett Cove South,0,0,,,,,,,
138.5169364,-35.0729953,Bright, ;  Full Wheelchair Access,Hallett Cove East Primary School,,0,Quailo Ave HALLETT COVE SA,,SA,Hallett Cove East,0,0,,,,,,,
138.5155166,-35.0768071,Bright, ;  Full Wheelchair Access,Hallett Cove School,,0,2 Gledsdale Rd HALLETT COVE SA,,SA,Hallett Cove,1,0,,,,,,,
138.8927757,-33.4117162,Stuart, ;  Assisted Wheelchair Access,Hallett Institute Hall,,0,Alfred St HALLETT SA,,SA,Hallett,0,0,,,,,,,
138.811229,-35.027578,Heysen, ;  Full Wheelchair Access,St Michael's Lutheran Church,,0,3 Balhannah Road HAHNDORF SA,,SA,Hahndorf,0,0,,,,,,,
138.665971,-34.817768,Florey, ;  Assisted Wheelchair Access,East Para Primary School,,0,12 Caroona Ave PARA HILLS SA,,SA,Para Hills East,0,0,,,,,,,
138.657208,-34.834205,Florey, ;  No Wheelchair Access,Valley View Secondary School,,0,240 Wright Rd PARA VISTA SA,,SA,Para Vista,0,0,,,,,,,
138.5365811,-35.1001313,Reynell, ;  Full Wheelchair Access,Reynella Primary School,,0,55-63 Concord Dr OLD REYNELLA SA,,SA,Old Reynella,0,0,,,,,,,
138.640212,-35.019731,Davenport, ;  Full Wheelchair Access,Hawthorndene Primary School,,0,Suffolk Rd HAWTHORNDENE SA,,SA,Hawthorndene,0,0,,,,,,,
138.666662,-34.890069,Hartley, ;  Full Wheelchair Access,East Torrens Primary School,,0,12 Robson Rd HECTORVILLE SA,,SA,Hectorville,0,0,,,,,,,
