lon,lat,has_run_out,division,booth_info,premises,opening_hours,polling_place_type,has_bbq,has_other,source,state,polling_place_name,has_nothing,has_caek,address,extra_info,stall_name,stall_description,stall_website,first_report,latest_report
115.9996409,-32.1515636,0,Canning,Assisted access,Neerigen Brook Primary School,8 - 6pm,,1,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",10:01 inspection,WA,Neerigen Brook Primary School,0,1,"Neerigen Brook Primary School, Seventh Rd, ARMADALE, Western Australia",,,,
116.0158074,-32.1344749,0,Canning,Assisted access,Kingsley Primary School,8 - 6pm,,0,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",09:43 inspection,WA,Kingsley Primary School,1,0,"Kingsley Primary School, Lathwell St, ARMADALE, Western Australia",,,,
116.0589993,-32.1909994,,Canning,Assisted access,Bedfordale District Hall,8 - 6pm,,0,,,WA,Bedfordale District Hall,0,0,"Bedfordale District Hall, Admiral Rd, BEDFORDALE, Western Australia",,,,
116.0263109,-32.1475274,0,Canning,Assisted access,Armadale Primary School,8 - 6pm,,0,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",,WA,Armadale Primary School,1,0,"Armadale Primary School, 1 Carradine Rd, BEDFORDALE, Western Australia",,,,
116.0045623,-32.1737127,,Canning,Assisted access,Evelyn Gribble Community Centre,8 - 6pm,,0,,,WA,Evelyn Gribble Community Centre,0,0,"Evelyn Gribble Community Centre, Ninth Rd, BROOKDALE, Western Australia",,,,
116.467214,-32.801617,,Canning,Assisted access,Boddington District High School,8 - 6pm,,0,,,WA,Boddington District High School,0,0,"Boddington District High School, 25 Pollard St, BODDINGTON, Western Australia",,,,
115.6550461,-32.8747573,,Canning,No,Preston Beach Community Centre,8 - 6pm,,0,,,WA,Preston Beach Community Centre,0,0,"Preston Beach Community Centre, Panorama Dr, PRESTON BEACH, Western Australia",,,,
115.8723037,-32.6329929,0,Canning,Assisted access,Pinjarra Senior High School,8 - 6pm,,1,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",,WA,Pinjarra Senior High School,0,0,"Pinjarra Senior High School, McLarty Rd, PINJARRA, Western Australia",,,,
116.0004974,-32.2254954,0,Canning,Assisted access,Serpentine Jarrahdale Community Recreation Centre,8 - 6pm,,0,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",,WA,Serpentine Jarrahdale Community Recreation Centre,1,0,"Serpentine Jarrahdale Community Recreation Centre, Mead St, BYFORD, Western Australia",,,,
116.0115469,-32.2203552,0,Canning,Assisted access,Byford Hall,8 - 6pm,,0,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",,WA,Byford Hall,1,0,"Byford Hall, 850 South Western Hwy near Clifton St, BYFORD, Western Australia",,,,
115.8757139,-32.739754,,Canning,No,Coolup Community Hall,8 - 6pm,,0,,,WA,Coolup Community Hall,0,0,"Coolup Community Hall, 186 Murray St, COOLUP, Western Australia",,,,
115.748794,-32.5500895,0,Canning,Assisted access,Coodanup Community College,8 - 6pm,,0,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",,WA,Coodanup Community College,1,0,"Coodanup Community College, Wanjeep St, COODANUP, Western Australia",,,,
115.735363,-32.541206,0,Canning,Assisted access,Dudley Park Primary School,8 - 6pm,,0,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",,WA,Dudley Park Primary School,1,0,"Dudley Park Primary School, Gillark St, DUDLEY PARK, Western Australia",,,,
115.6466279,-32.6334076,,Canning,No,Southern Estuary Progress Assn Hall,8 - 6pm,,0,,,WA,Southern Estuary Progress Assn Hall,0,0,"Southern Estuary Progress Assn Hall, Estuary Rd, DAWESVILLE, Western Australia",,,,
115.6599083,-32.5797599,,Canning,Assisted access,Falcon Community Pavilion,8 - 6pm,,0,,,WA,Falcon Community Pavilion,0,0,"Falcon Community Pavilion, Lynda St, FALCON, Western Australia",,,,
116.063537,-32.71545,,Canning,Assisted access,Dwellingup Primary School,8 - 6pm,,0,,,WA,Dwellingup Primary School,0,0,"Dwellingup Primary School, 10 Newton St, DWELLINGUP, Western Australia",,,,
