lon,lat,division,booth_info,premises,opening_hours,polling_place_type,has_bbq,has_other,source,state,polling_place_name,has_nothing,has_caek,address,extra_info,has_run_out,stall_name,stall_description,stall_website,first_report,latest_report
149.101848,-21.106447,Whitsunday,,State School,,Government School,0,,,QLD,Farleigh,0,0,"Chidlow Street, FARLEIGH, 4741",,,,,
150.294546,-28.535634,Southern Downs,,Goondiwindi PCYC Indoor Sports Centre,,Other,0,,,QLD,Goondiwindi West,0,0,"1 Russell Street, GOONDIWINDI, 4390",,,,,
150.186533,-26.658596,Warrego,,Civic Centre,,Other,0,,,QLD,Miles,0,0,"Marion Street, MILES, 4415",,,,,
151.491423,-24.244323,Burnett,,State School,,Government School,0,,,QLD,Bororen,0,0,"1 Kent Street, BOROREN, 4678",,,,,
146.826938,-19.26288,Townsville,,State School,,Government School,1,"{""coffee"":true,""vego_sausages"":false,""halal"":false,""bacon_egg"":true,""other"":""""}",http://www.townsvillebulletin.com.au/news/election-day-snags-a-key-issue-for-voters/story-fnjfzs4b-1227203041701?from=public_rss&utm_medium=twitter&utm_campaign=Queensland_Online&utm_content=news&utm_source=RoamMedia,QLD,South Townsville,0,1,"78 Tully Street, SOUTH TOWNSVILLE, 4810","Car boot sale, activities for kids",,,,
153.185774,-28.124972,Beaudesert,,State School,,Government School,0,,,QLD,Beechmont,0,0,"Beechmont Road, BEECHMONT, 4211",,,,,
153.063056,-27.289866,Sandgate,,Nursing Home Auditorium,,Hospital,0,,,QLD,Eventide,0,0,"Beaconsfield Terrace, BRIGHTON, 4017",,,,,
149.144511,-21.472659,Mirani,,Swayneville State School,,Government School,0,,,QLD,Shinfield,0,0,"952 Marlborough-Sarina Road, SHINFIELD, 4737",,,,,
153.305449,-27.919402,"Albert, Gaven",,State School,,Government School,0,,,QLD,Gaven,0,0,"Universal Street, OXENFORD, 4210",,,,,
153.010796,-27.5138,Yeerongpilly,,St Sebastians School,,Private School,1,"{""coffee"":true,""vego_sausages"":false,""halal"":false,""bacon_egg"":true,""other"":""""}",@sausagesizzles,QLD,Yeronga West,0,1,"141 Kadumba Street, YERONGA, 4104",,,,,
152.333,-24.875833,Bundaberg,,State School,,Government School,0,,,QLD,Bundaberg West,0,0,"Steffensen Street, BUNDABERG, 4670",,,,,
151.965616,-27.579808,"Toowoomba North, Toowoomba South",,State High School,,Government School,0,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",http://www.thechronicle.com.au/news/toowoomba-voters-cast-votes-early/2529340/,QLD,Centenary Heights,1,0,"South Street, CENTENARY HEIGHTS, 4350",,,,,
153.4525,-28.090556,Burleigh,,Fradgley Hall (above library building),,Hall,0,,,QLD,Burleigh All-Districts Centre,0,0,"Park Avenue (cnr Ocean Street), BURLEIGH HEADS, 4220",,,,,
152.217314,-27.633809,Lockyer,,Baptist Church Hall,,Church,0,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",Twitter,QLD,Upper Tenthill,0,0,"979 Tenthill Creek Road, UPPER TENTHILL, 4343",,,,,
147.84483,-20.547643,Burdekin,,State School Parade Room,,Government School,0,,,QLD,Collinsville,0,0,"Hamilton Street, COLLINSVILLE, 4804",,,,,
141.079463,-17.668824,Mount Isa,,Court House,,Courthouse,0,,,QLD,Normanton,0,0,"Haig Street, NORMANTON, 4890",,,,,
