lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
145.54094,-41.77853,,Assisted Disabled,Rosebery Neighbourhood Centre,,0, 8 Agnes St TAS 7470,,TAS,Rosebery Neighbourhood Centre,0,0,,,,,,,
147.317,-42.8878,,Standard,Goulburn Street Primary School,,0,Forest Rd TAS 7000,,TAS,Goulburn Street Primary School,0,0,,,,,,,
147.3100773,-42.8778039,,Assisted Disabled,Lawrenny Court,,0,131 Hill St TAS 7000,,TAS,Lawrenny Court,0,0,,,,,,,
145.8995841,-41.0766337,,Assisted Disabled,Romaine Park Primary School,,0,Cnr Roslyn Avenue and Mount Street TAS 7320,,TAS,Romaine Park Primary School,0,0,,,,,,,
146.17091,-41.16201,,Assisted Disabled,Ulverstone High School,,0,38 Leven St TAS 7315,,TAS,Ulverstone High School,0,0,,,,,,,
146.192,-41.1546,,Assisted Disabled,East Ulverstone Primary School,,0,18 Crawford St TAS 7315,,TAS,East Ulverstone Primary School,0,0,,,,,,,
147.3825601,-42.8611504,,Assisted Disabled,Warrane Primary School,,0,213 Cambridge Rd TAS 7018,,TAS,Warrane Primary School,0,0,,,,,,,
147.432,-42.8959,,Assisted Disabled,Rokeby Community Centre,,0,Hart Pl TAS 7019,,TAS,Rokeby Community Centre,1,0,,,,,,,
147.19,-41.4321,,Standard,Waverley School Primary School,,0,6 Naroo St TAS 7250,,TAS,Waverley School Primary School,0,0,,,,,,,
147.384,-42.8559,,Assisted Disabled,Warrane Mornington Neighbourhood Centre,,0,150A Bligh St TAS 7018,,TAS,Warrane Mornington Neighbourhood Centre,0,0,,,,,,,
147.309,-42.8819,,Assisted Disabled,Lansdowne Crescent Primary School,,0,Gourlay St TAS 7000,,TAS,Lansdowne Crescent Primary School,0,0,,,,,,,
146.457,-41.1885,,Assisted Disabled,Wesley Vale Primary School,,0,West Wind Dr (Wesley Vale Road) TAS 7307,,TAS,Wesley Vale Primary School,0,0,,,,,,,
146.8238,-41.1076,,Assisted Disabled,George Town Memorial Hall,,0,29-67 Macquarie St TAS 7253,,TAS,George Town Memorial Hall,0,0,,,,,,,
146.372,-41.1779,,Assisted Disabled,East Devonport Primary School,,0,19 Thomas St TAS 7310,,TAS,East Devonport Primary School,0,0,,,,,,,
147.495,-42.9402,,Standard,Sandford Hall,,0,973 South Arm Rd TAS 7020,,TAS,Sandford Hall,0,0,,,,,,,
145.145,-40.9133,,Standard,Irishtown Lodge Arthur Temple,,0,604 Irishtown Rd TAS 7330,,TAS,Irishtown Lodge Arthur Temple,0,0,,,,,,,
146.9283,-42.9982,,Assisted Disabled,Judbury Hall,,0,1273 Glen Huon Rd TAS 7109,,TAS,Judbury Hall,0,0,,,,,,,
147.148,-41.2539,,Assisted Disabled,Karoola Hall,,0,1126 Pipers River Rd TAS 7267,,TAS,Karoola Hall,0,0,,,,,,,
146.794,-41.1037,,Standard,Kelso Community Centre,,0,Foreshore Rd TAS 7270,,TAS,Kelso Community Centre,0,0,,,,,,,
147.2,-42.5313,,Assisted Disabled,Kempton Council Chambers,,0,Main St TAS 7030,,TAS,Kempton Council Chambers,0,0,,,,,,,
147.247,-43.1257,,Assisted Disabled,Kettering Community Centre,,0,2963 Channel Hwy TAS 7050,,TAS,Kettering Community Centre,0,0,,,,,,,
147.16,-41.4677,,Assisted Disabled,Y.M.C.A. Centre,,0,8A Blaydon St TAS 7249,,TAS,Y.M.C.A. Centre,0,0,,,,,,,
147.311406,-42.975321,,Disabled,Kingborough Council,,0,15 Channel Hwy TAS 7050,,TAS,Kingborough Council,0,0,,,,,,,
147.309,-42.9896,,Assisted Disabled,Southern Christian College,,1,150 Redwood Rd TAS 7050,,TAS,Southern Christian College,0,0,,,,,,,
147.3235074,-42.9815337,,Assisted Disabled,Kingston Beach Hall,,0,Beach Rd TAS 7050,,TAS,Kingston Beach Hall,0,0,,,,,,,
147.367,-41.3107,,Assisted Disabled,Myrtle Park Hall,,0,38250 Tasman Hwy TAS 7259,,TAS,Myrtle Park Hall,0,0,,,,,,,
147.868,-43.0371,,Assisted Disabled,Tasman Peninsula Community Centre,,0,Gourlay Rd TAS 7180,,TAS,Tasman Peninsula Community Centre,0,0,,,,,,,
145.092,-40.9705,,Assisted Disabled,Edith Creek Primary School,,0,1282 Trowutta Rd TAS 7330,,TAS,Edith Creek Primary School,0,0,,,,,,,
146.871,-41.3383,,Assisted Disabled,Glengarry Fire Station,,0,Frankford Rd TAS 7275,,TAS,Glengarry Fire Station,0,0,,,,,,,
146.345,-41.1864,,Assisted Disabled,TasTafe,,0,20-36 Valley Rd TAS 7310,,TAS,TasTafe,0,0,,,,,,,
146.349,-41.1893,,Assisted Disabled,Reece High School,,0,41-43 Middle Rd TAS 7310,,TAS,Reece High School,0,0,,,,,,,
146.358,-41.1789,,Assisted Disabled,St Johns Parish Hall,,0,Fenton St TAS 7310,,TAS,St Johns Parish Hall,0,0,,,,,,,
