lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,has_run_out,has_other,first_report,latest_report
146.846635,-36.116969,Benambra District,,Victory,,1, 28 Drage Road Wodonga 654 E4,,VIC,Victory Lutheran Primary School,0,0,,,,,,
146.730855,-36.290509,Benambra District,,Wooragee,,0, 1011 Beechworth-Wodonga Road Wooragee 659 O2,,VIC,Wooragee Centenary Hall,0,0,,,,,,
146.611575,-36.151234,Benambra District,,Chiltern,,0, 84 Conness Street Chiltern 658 D3,,VIC,Chiltern Senior Citizens Hall,0,0,,,,,,
147.005839,-36.140956,Benambra District,,Bonegilla,,0, Murray Valley Highway Bonegilla 36 B4,,VIC,Bonegilla Hall,0,0,,,,,,
146.89013,-36.117016,Benambra District,,Wodonga,,0, Osburn Street Wodonga 653 N5,,VIC,St. Augustine's Catholic Primary School,0,0,,,,,,
147.391171,-36.287427,Benambra District,,Tallangatta Valley,,0, Polmear Street Tallangatta Valley 36 H6,,VIC,Tallangatta Valley Public Hall,0,0,,,,,,
147.050812,-36.533246,Benambra District,,Running Creek,,0, 5253 Kiewa Valley Highway Running Creek 50 B2,,VIC,St Albans Parish Hall,0,0,,,,,,
147.170763,-36.742977,Benambra District,,Mt Beauty,,0, Kiewa Crescent Mt Beauty 660 H10,,VIC,Mt Beauty Community Centre,0,0,,,,,,
146.754617,-36.403197,Benambra District,,Stanley,,0, Pioneer Road Stanley 35 D8,,VIC,Stanley Safer Place,0,0,,,,,,
144.819875,-37.710928,Niddrie District,,Calder Rise,,0, Augustines Way Keilor 14 E4,,VIC,St Augustine's Primary School,0,0,,,,,,
144.99675,-37.75543,Northcote District,,Thornbury,,1, 16-22 Hutton Street Thornbury 30 E4,,VIC,Thornbury Primary School,0,1,,,,,,
144.880219,-37.725385,Niddrie District,,Airport West,,0, 34 Roberts Road Airport West 15 J8,,VIC,St Christopher's Catholic Primary School,0,0,,,,,,
146.673874,-36.105522,Benambra District,,Barnawartha,,0, 38 High Street Barnawartha 658 J9,,VIC,Barnawartha Soldiers Memorial Hall,0,0,,,,,,
146.46061,-36.05621,Benambra District,,Rutherglen,,0, 44-46 Murray Street Rutherglen 657 M9,,VIC,Rutherglen Primary School,0,0,,,,,,
147.021447,-36.475328,Benambra District,,Dederang,,0, Kiewa Valley Highway Dederang 36 B9,,VIC,Dederang Multi-Purpose Building,0,0,,,,,,
146.393528,-36.0109,Benambra District,,Wahgunyah,,0, 33-35 Foord Street Wahgunyah 656 F6,,VIC,Wahgunyah School of Arts Hall,0,0,,,,,,
146.69357,-36.35543,Benambra District,,Beechworth,,0, 17 Junction Road Beechworth 659 P3,,VIC,Beechworth Primary School,0,0,,,,,,
147.737238,-35.963982,Benambra District,,Walwa,,0, Main Street Walwa 37 D1,,VIC,Walwa Servicemen's Memorial Hall,0,0,,,,,,
147.028289,-36.327829,Benambra District,,Kergunyah,,0, Kergunyah Road Kergunyah 36 B7,,VIC,Kergunyah Memorial Hall,0,0,,,,,,
147.778683,-36.18466,Benambra District,,Cudgewa,,0, 195 Main Street Cudgewa 37 E4,,VIC,Cudgewa Mechanics Institute,0,0,,,,,,
147.14325,-36.6914,Benambra District,,Tawonga,,1, 91 Kiewa Valley Highway Tawonga 662 H3,,VIC,Tawonga Primary School,0,0,,,,,,
147.376406,-36.537287,Benambra District,,Mitta Mitta,,0, 5543 Omeo Highway Mitta Mitta 50 G2,,VIC,Mitta Mitta Mechanics Institute,0,0,,,,,,
143.89424,-37.55542,Wendouree District,,Caledonian,,1, Thompson Street Brown Hill 567 L7,,VIC,Caledonian Primary School,0,0,,,,,,
145.159576,-37.796811,Warrandyte District,,Beverley Hills,,0, Cassowary Street Doncaster East 48 B3,,VIC,Beverley Hills Primary School,0,0,,,,,,
145.152478,-37.790732,Warrandyte District,,Doncaster Heights,,1, 23 Leeds Street Doncaster East 47 K2,,VIC,Ss Peter & Paul Catholic Parish,0,1,,,,,,
145.198786,-37.791142,Warrandyte District,,Donvale,,0, 156 Park Road Donvale 49 A2,,VIC,Whitefriars College,0,0,,,,,,
143.83122,-37.56602,Wendouree District,,Ballarat South West,,0, 49 Inkerman Street Newington 565 T9,,VIC,Urquhart Park Primary School,0,0,,,,,,
143.813113,-37.557891,Wendouree District,,Alfredton,,0, 29 Learmonth Street Alfredton 565 Q7,,VIC,McCallum Community Centre,0,0,,,,,,
143.845213,-37.575499,Wendouree District,,Skipton Street,,0, corner Skipton and Darling Streets Redan 566 B11,,VIC,Skipton Street Uniting Church,0,0,,,,,,
143.830922,-37.538006,Wendouree District,,Wendouree,,0, 201 Forest Street Wendouree 565 T3,,VIC,Ballarat and Queens Grammar,0,0,,,,,,
143.81856,-37.58491,Wendouree District,,Delacombe,,0, 110-120 Greenhalghs Road Delacombe 571 Q1,,VIC,Delacombe Primary School,0,0,,,,,,
143.86978,-37.54984,Wendouree District,,Black Hill,,1, 601 Chisholm Street Black Hill 566 F6,,VIC,Black Hill Primary School,0,0,,,,,,
145.16162,-38.11662,Frankston District,,Aldercourt,,0, Silver Avenue (access via Wallowa Avenue) Frankston North 100 B7,,VIC,Aldercourt Primary School,1,0,,,,,,
145.138845,-38.135559,Frankston District,,John Paul College,,0, McMahons Road Frankston 99 G12,,VIC,John Paul College,1,0,,,,,,
145.158374,-38.146691,Frankston District,,Ballam Park,,1, 31 Belar Avenue (Access via Alexander Cres) Frankston 103 A3,,VIC,McClelland College,0,0,,,,,,
145.145905,-38.146351,Frankston District,,Frankston East,,0, Ashleigh Avenue Frankston 102 H3,,VIC,Frankston East Primary School,1,0,,,,,,
145.14671,-38.16228,Frankston District,,Frankston Heights,,1, 10 Kalmia Street Frankston 102 J7,,VIC,Frankston Heights Primary School,0,1,,,,,,
145.139076,-38.160987,Frankston District,,Bruce Park,,0, Margate Avenue Frankston 102 G7,,VIC,Bruce Park Hall,0,0,,,,,,
145.118187,-38.147518,Frankston District,,Frankston Beach,,0, corner Bay and High Streets Frankston 102 C3,,VIC,St Pauls Anglican Church Hall,0,0,,,,,,
145.146724,-38.173431,Frankston District,,Mt Erin,,1, Robinsons Road Frankston South 102 J10,,VIC,Mount Erin College,0,0,,,,,,
145.1574,-38.12562,Frankston District,,Frankston Forest,,1, Forster Avenue Frankston North 100 A9,,VIC,Mahogany Rise Primary School,0,1,,,,,,
145.16636,-38.14102,Frankston District,,Karingal Heights,,0, Havana Crescent Frankston 103 C1,,VIC,Karingal Heights Primary School,0,0,,,,,,
144.85932,-37.74453,Niddrie District,,Keilor East,,1, 2A Parkside Avenue Keilor East 27 D1,,VIC,St Peters School,0,0,,,,,,
144.702912,-38.319026,Nepean District,,Portsea,,0, Point Nepean Road Portsea 156 C2,,VIC,Point Nepean National Park Information Centre,0,0,,,,,,
145.04538,-38.427605,Nepean District,,Shoreham,,0, 67 Byrnes Road Shoreham 256 F8,,VIC,Shoreham Hall,0,0,,,,,,
144.838801,-38.42205,Nepean District,,St Andrews Beach,,0, 99 Bass Meadows Boulevard St Andrews Beach 251 K6,,VIC,St Andrews Recreation Hall,0,0,,,,,,
144.857482,-38.369646,Nepean District,,Tootgarook,,0, Carmichael Street (access via Wilkinson Street) Tootgarook 169 D4,,VIC,Tootgarook Primary School,0,0,,,,,,
145.015893,-38.473345,Nepean District,,Flinders,,0, Cook Street Flinders 261 K8,,VIC,Flinders Civic Hall,0,0,,,,,,
144.90016,-38.356339,Nepean District,,Rosebud,,0, 994 Point Nepean Road Rosebud 158 D12,,VIC,Rosebud Memorial Hall,0,0,,,,,,
144.95965,-38.33964,Nepean District,,Dromana,,0, McCulloch Street Dromana 159 G8,,VIC,Dromana Primary School,0,0,,,,,,
144.966904,-38.334207,Nepean District,,Dromana Beach,,0, 43 Pier Street Dromana 159 J6,,VIC,Dromana Senior Citizens Club,0,0,,,,,,
144.821498,-38.371891,Nepean District,,Rye,,0, 12 Napier Street Rye 168 F4,,VIC,Rye Civic Hall,0,0,,,,,,
145.30748,-38.06499,Narre Warren South District,,Hillsmeade,,0, 82 The Promenade Narre Warren South 130 E5,,VIC,Hillsmeade Primary School,0,0,,,,,,
145.297612,-38.057309,Narre Warren South District,,Oakgrove,,0, 89-101 Oakgrove Drive Narre Warren South 130 C2,,VIC,Oakgrove Community Centre,0,0,,,,,,
