lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
151.02,-33.8603,Blaxland,assisted wheelchair access,Auburn West Public School,7 Sep 2013 8:00-18:00,0,cnr Chiswick & Chisholm Rds AUBURN NSW 2144,,NSW,Auburn West (Blaxland),0,0,,,,,,,
151.0386724,-33.9054791,Blaxland,assisted wheelchair access,Bankstown North Public School,7 Sep 2013 8:00-18:00,0,cnr 322 Hume Hwy & Beresford Ave BANKSTOWN NSW 2200,,NSW,Bankstown North,0,0,,,,,,,
151.034,-33.9209,Blaxland,assisted wheelchair access,Bankstown Public School,7 Sep 2013 8:00-18:00,0,cnr Restwell St & McDonald Lane   BANKSTOWN NSW 2200,,NSW,Bankstown (Blaxland),0,0,,,,,,,
151.03662,-33.91927,Blaxland,assisted wheelchair access,Bankstown Senior Citizens Centre,7 Sep 2013 8:00-18:00,0,7 West Tce BANKSTOWN NSW 2200,,NSW,Bankstown Central (Blaxland),0,0,,,,,,,
151.0216557,-33.931105,Blaxland,assisted wheelchair access,Bankstown Senior College,7 Sep 2013 8:00-18:00,0,Eldridge Rd   BANKSTOWN NSW 2200,,NSW,Condell Park South,0,0,,,,,,,
150.991991,-33.819043,Parramatta,assisted wheelchair access,Dong San Uniting Church,7 Sep 2013 8:00-18:00,0,125 Great Western Hwy MAYS HILL NSW 2145,,NSW,Mays Hill,0,0,,,,,,,
150.9732425,-33.803316,Parramatta,assisted wheelchair access,Darcy Road Public School,8/09/2013,0,Darcy Rd   WENTWORTHVILLE NSW 2145,,NSW,Darcy Road (Parramatta),1,0,,,,,,,
151.3212704,-24.4067172,Flynn,"Community Hall, assisted wheelchair access",Ubobo State School,7 Sep 2013 8:00-18:00,0,16 Cedarvale Rd   UBOBO QLD 4680,,QLD,Ubobo,0,0,,,,,,,
148.344,-23.0329,Flynn,assisted wheelchair access,Tieri State School,7 Sep 2013 8:00-18:00,0,Bottlebrush La   TIERI QLD 4709,,QLD,Tieri,0,0,,,,,,,
151.3646302,-23.9601914,Flynn,assisted wheelchair access,Tannum Sands State High School,7 Sep 2013 8:00-18:00,0,65 Coronation Dr TANNUM SANDS QLD 4680,,QLD,Tannum Sands,0,0,,,,,,,
